,Population,zip code,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000"
554,35140,98056,13830.0,4.4,3.0,6.6,6.8,12.2,16.6,13.7,18.8,7.8,10.1
555,43747,98058,15690.0,3.2,1.9,4.8,6.2,11.2,19.0,14.3,21.9,9.7,7.7
556,9844,98070,4635.0,3.2,3.8,10.6,7.1,16.7,12.9,8.7,18.6,9.5,9.0
557,23576,98110,9655.0,3.8,3.4,5.6,5.1,7.7,12.3,9.9,21.5,11.7,18.9
558,32682,98117,14039.0,2.7,2.7,5.0,5.3,7.8,16.0,12.7,22.1,12.3,13.5
559,24567,98119,11911.0,4.4,3.4,5.5,5.5,12.2,16.5,13.2,14.8,7.1,17.4
560,14678,98121,10066.0,9.7,6.3,6.5,5.7,7.3,9.5,14.7,17.6,8.2,14.4
561,31664,98001,10871.0,4.6,2.6,4.8,7.0,11.2,20.8,18.2,18.9,6.8,5.1
562,29994,98273,10591.0,7.8,5.0,10.7,10.1,14.2,20.3,13.6,11.9,4.2,2.2
563,37932,98277,15647.0,8.3,3.3,8.1,10.5,16.0,20.6,13.9,13.1,3.9,2.2
564,328,98283,152.0,32.9,5.9,0.0,27.6,5.9,3.9,13.2,10.5,0.0,0.0
565,34218,98290,12431.0,3.6,3.0,6.1,6.2,9.9,17.3,14.4,21.5,9.4,8.6
566,6659,98294,2679.0,11.3,1.9,8.0,8.2,7.9,27.0,18.5,13.0,2.2,2.1
567,1211,98320,544.0,7.2,5.7,14.7,10.1,17.6,24.1,8.5,5.0,3.5,3.7
568,9300,98328,3728.0,3.4,5.7,8.1,6.5,11.7,25.5,14.8,17.6,4.1,2.6
569,104,98330,26.0,53.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2
570,4501,98365,2103.0,7.3,2.8,11.6,8.9,12.2,18.8,13.6,18.5,3.5,2.8
571,15478,98368,7159.0,7.7,7.6,10.4,11.2,13.9,16.6,14.4,10.5,3.5,4.3
572,45428,98387,15221.0,4.3,3.5,5.6,7.9,13.9,26.8,15.9,16.3,4.0,1.9
573,589,98396,231.0,4.3,2.6,2.2,7.8,16.0,23.8,17.3,20.3,5.6,0.0
574,6023,98402,3355.0,19.4,9.5,10.3,7.3,9.3,17.0,10.1,12.0,3.8,1.3
575,47522,98133,21269.0,8.5,5.1,9.5,10.4,12.3,17.0,11.3,15.7,6.4,3.7
576,12044,98101,8213.0,11.7,6.7,10.4,6.6,7.8,10.9,11.5,13.8,8.2,12.4
577,25846,98106,10454.0,6.6,5.5,8.5,10.3,15.5,16.3,11.6,15.6,6.3,3.6
578,11257,98148,4464.0,7.6,5.6,10.1,11.0,18.0,17.7,9.7,12.6,5.2,2.5
579,26251,98178,8973.0,5.5,2.5,9.2,9.5,12.1,18.7,16.2,17.6,4.6,4.1
580,0,98158,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
