Unnamed: 0.1,zip code,number_registration,Population,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000",EV charging station number
121,99148,8,1889,833.0,11.0,2.5,11.2,8.3,17.5,24.6,12.0,8.2,2.9,1.8,0.0
122,99207,85,29652,11700.0,9.7,8.6,18.7,14.3,17.6,18.3,7.9,4.1,0.6,0.2,0.0
123,98831,23,2931,1293.0,7.3,9.4,8.7,3.2,15.0,15.4,22.5,15.1,1.2,2.2,4.0
124,98832,2,334,88.0,18.2,0.0,8.0,8.0,4.5,5.7,11.4,34.1,10.2,0.0,0.0
125,98844,2,4532,2077.0,6.9,9.6,15.3,18.1,15.6,14.5,9.0,7.0,3.9,0.0,5.0
126,98603,7,1239,483.0,10.4,0.0,7.2,6.2,15.7,26.3,12.2,16.1,4.1,1.7,0.0
127,98601,16,3316,1042.0,1.1,3.1,13.0,13.2,9.3,20.0,20.7,14.2,5.5,0.0,0.0
128,98563,35,7575,3023.0,4.8,4.5,9.3,6.3,19.0,21.9,12.9,12.9,2.4,6.0,0.0
129,99021,37,8765,3472.0,4.8,1.4,10.5,7.1,14.5,26.1,12.3,15.5,3.3,4.6,2.0
130,99022,20,8890,3320.0,6.1,4.7,8.9,10.0,13.2,24.0,13.6,12.3,4.9,2.3,2.0
131,99217,56,18864,7075.0,9.3,6.0,10.8,9.8,17.6,20.7,12.7,8.3,1.9,3.0,4.0
132,98930,11,16599,4591.0,3.8,6.2,13.6,13.6,20.2,20.6,10.0,8.9,2.0,1.0,0.0
133,98520,76,23904,8102.0,8.4,7.2,11.6,11.6,15.7,20.7,9.4,11.3,2.4,1.7,12.0
134,98342,40,1422,590.0,4.1,3.6,8.6,5.6,10.3,21.0,15.8,16.8,7.8,6.4,0.0
135,98380,56,4835,1794.0,3.7,1.8,8.5,5.5,17.1,10.3,17.8,21.2,8.4,5.7,0.0
136,98365,78,4501,2103.0,7.3,2.8,11.6,8.9,12.2,18.8,13.6,18.5,3.5,2.8,0.0
137,98354,48,7128,2861.0,1.9,5.8,9.4,5.0,10.9,24.5,15.4,17.0,5.7,4.3,0.0
138,98339,16,3197,1360.0,4.9,8.7,11.7,14.9,9.3,26.9,7.1,13.4,2.1,1.0,1.0
139,98383,197,20319,8301.0,4.1,1.6,5.9,8.6,14.2,21.2,15.3,18.3,5.7,5.2,26.0
140,98232,60,4113,1711.0,0.0,4.3,3.5,16.7,16.2,11.2,11.5,26.1,6.3,4.3,0.0
141,98003,233,47407,18010.0,7.2,5.5,10.3,11.6,16.5,18.6,12.5,11.1,4.0,2.8,27.0
142,98327,95,9285,3193.0,4.5,0.4,2.9,5.5,11.4,21.5,18.5,19.5,10.4,5.3,7.0
143,98252,50,9459,3631.0,3.6,3.0,5.3,10.2,17.3,12.0,20.6,16.7,6.5,4.9,0.0
144,98253,37,1722,890.0,6.2,12.2,7.6,6.4,11.6,15.3,13.3,11.1,6.7,9.6,0.0
145,98241,9,2041,818.0,7.2,8.9,9.9,8.7,13.7,22.4,9.4,14.5,1.6,3.7,0.0
146,98675,29,7395,2015.0,5.4,4.7,7.3,6.8,13.3,22.0,11.8,15.5,9.5,3.7,0.0
147,98375,163,29732,9595.0,2.5,1.8,5.1,6.3,12.7,22.4,19.4,20.9,5.5,3.3,0.0
148,99330,2,993,326.0,4.3,12.9,29.8,0.0,12.3,19.0,19.3,2.5,0.0,0.0,0.0
149,98359,70,4479,1645.0,4.1,3.6,6.7,6.2,10.2,22.7,15.8,14.2,10.9,5.4,0.0
150,99328,12,3683,1545.0,7.8,6.5,12.2,11.8,19.9,16.6,6.9,12.4,2.9,3.0,8.0
151,99206,113,36768,14611.0,5.8,4.7,10.1,13.0,12.6,20.8,15.5,12.1,3.6,1.9,3.0
152,98576,36,4883,1855.0,4.4,3.7,10.2,10.8,15.8,21.3,12.2,18.9,1.3,1.2,0.0
153,98010,103,5143,1981.0,4.2,1.6,6.2,8.4,8.4,24.3,8.0,20.1,9.2,9.5,0.0
154,98589,58,6944,2649.0,7.4,2.8,9.7,8.2,14.1,24.3,10.2,18.5,3.1,1.6,0.0
155,98264,103,19932,7242.0,3.3,4.4,9.3,9.7,13.5,22.5,14.7,15.2,5.0,2.6,1.0
156,98816,61,6504,2616.0,10.5,2.0,11.5,11.2,17.2,16.9,10.9,14.5,2.7,2.4,5.0
157,98672,85,6065,2428.0,3.7,3.6,7.0,14.6,15.4,19.9,19.0,14.5,0.9,1.6,0.0
158,98233,91,14896,5882.0,7.3,6.0,7.9,11.1,12.6,21.1,13.8,14.0,3.5,2.4,15.0
159,98236,121,6004,2639.0,3.2,1.9,8.5,5.9,15.2,22.3,14.8,15.1,7.0,6.1,0.0
160,98532,89,24078,8951.0,5.8,5.5,12.1,12.9,12.3,19.2,12.7,13.2,4.3,1.9,3.0
161,98660,137,12359,5341.0,10.7,8.7,11.8,8.9,13.9,17.4,11.2,10.5,4.3,2.6,12.0
162,98498,192,27614,11137.0,6.1,3.5,10.7,8.2,13.2,22.0,12.1,16.1,4.7,3.5,9.0
163,99037,60,12928,5285.0,3.6,3.6,7.9,11.3,17.3,18.8,13.1,14.6,6.0,3.9,8.0
164,98051,49,3320,1261.0,7.7,0.6,2.9,4.1,5.2,16.4,21.7,15.3,13.8,12.2,0.0
165,98465,67,6344,3035.0,10.1,9.4,9.1,7.0,14.6,17.0,14.3,10.5,4.2,3.8,2.0
166,98404,112,34119,10950.0,11.3,6.1,10.1,10.6,14.3,22.0,13.0,10.0,1.6,0.9,2.0
